iteration;datetime;elapsed_time;acc
1;2023-03-01_14-03-21;1188.0532689094543;80.49116134643555
2;2023-03-01_14-35-12;1204.340875864029;82.84872770309448
3;2023-03-01_14-56-36;1205.1393148899078;82.41650462150574
4;2023-03-01_15-16-45;1259.260530948639;80.53045272827148
5;2023-03-01_15-37-47;1280.3364009857178;80.9823215007782
6;2023-03-01_15-59-11;1247.6753931045532;79.09626960754395
7;2023-03-01_16-20-02;1256.1635568141937;82.3772132396698
8;2023-03-01_16-41-02;1254.4663388729095;82.94695615768433
9;2023-03-01_17-02-00;1253.439820766449;82.63261318206787
10;2023-03-01_17-22-57;1244.0204889774323;82.7897846698761
